c_TipoDoc;c_NumeroD;d_Fecha;c_CodClie;c_CodArt;c_Descri;n_Cantidad;n_Precio;n_CostoAct
FAC;000845;28/07/2026;C-18;P-004;PRODUCTO POR AGOTARSE;12;160,00;105,00
FAC;000846;29/07/2026;C-01;P-001;PRODUCTO RENTABLE;8;180,00;95,00
FAC;000847;29/07/2026;C-02;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000848;29/07/2026;C-03;P-004;PRODUCTO POR AGOTARSE;13;160,00;105,00
FAC;000849;30/07/2026;C-04;P-001;PRODUCTO RENTABLE;9;180,00;95,00
FAC;000850;30/07/2026;C-05;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000851;30/07/2026;C-06;P-004;PRODUCTO POR AGOTARSE;14;160,00;105,00
FAC;000852;31/07/2026;C-07;P-001;PRODUCTO RENTABLE;11;180,00;95,00
FAC;000853;31/07/2026;C-08;P-003;PRODUCTO CON MARGEN BAJO;9;105,00;100,00
FAC;000854;31/07/2026;C-09;P-004;PRODUCTO POR AGOTARSE;16;160,00;105,00
